smiles,docking_score
C[C@@H]1O[C@H](O)[C@@H](O)[C@@H](OC(=O)CC[N+](=O)[O-])[C@@H]1O,-4.849
CCN1CNC2CCCCC21,-6.219
CC[C@H](C)[C@H](C)/C=C/C=C(C)c1ccc(C)c(O)c1,-6.838
O[C@@H]1[C@H](O[C@H]2[C@@H](O)[C@H](O)OC[C@@H]2O)O[C@H]2CO[C@@H]1[C@@H]2O,-3.882
OC[C@H]1O[C@H](Oc2cccc(O)c2)[C@H](O)[C@@H](O)[C@H]1O,-5.963
CC=C1CC(C=O)=CO[C@@H]1O,-5.774
CC(=O)OC1C[C@H]2CCC[C@@H]1N2C,-4.375
CCCC(=O)N[C@@H](C=O)[C@@H](C)N(C)C=O,-5.62
C[CH]C[C@H](C)C[C@H](C)CCC,-5.621
CC=Cc1c[nH]c(N)n1,-5.423
CC(C)(O)C[CH]O,-3.838
CCCCCCCC1OC1C,-5.298
O=CC[C@H](CS)C(=O)O,-4.506
CC(C)CCC(=O)NCCC(=O)NCCO,-6.25
C[C@@H](NC(=O)[C@@H]1C[C@@H](NC=O)CCN1)C(N)=O,-6.502
CO[C@H]1c2cc(C)ccc2O[C@@H]1c1ccc(O)cc1,-7.489
Cc1c(O)c(O)cc2c1[C@@H]1O[C@H]2C[C@@H]1C=O,-5.308
CO[C@@H]1O[C@H](C)[C@@H](O)[C@H](OC(C)=O)[C@H]1O,-6.051
COc1ccc(C(=O)c2nccc3ccccc23)cc1,-8.569
CCCCCCCN,-4.841
C[C@H]1CC[C@@H](NC=O)[C@@H](O)O1,-5.062
COc1cccc2cnccc12,-6.993
OC[C@H]1OCC(O[C@@H]2CC(O)[C@H](O)CO2)[C@@H](O)[C@@H]1O,-4.828
CC(=O)OC(CCCO)C(=O)C#N,-5.216
CC[C@@]1(C(=O)O)C(=O)O[C@](C)(C(=O)O)[C@H]1C,-2.225
COc1ccc(NS)cc1,-5.512
CN[C@H](/C=C(\C)C(=O)O)C(C)C,-5.905
CC1(C)CCC[C@](C)(C2=CC[C@H]3COC[C@H]3[CH]2)C1,-4.417
